cliente,produto,quantidade
b'6.kpbA',b'jGMxUA',2
b'6.kpbA',b'RNVuyA',2
b'6.kpbA',b'SHi6AQ',4
b'6.kpbA',b'ncFoxQ',2
b'6.kpbA',b'gPfWQQ',2
b'6.kpbA',b'FakBAw',2
b'6.kpbA',b'Yj9EKg',2
b'6.kpbA',b'NS8KgQ',2
b'6.kpbA',b'wDPcnA',2
b'6.kpbA',b'-X3yew',4
b'6.kpbA',b'7DTFOQ',4
b'6.kpbA',b'0UH81A',2
b'6.kpbA',b'hBxwHw',6
b'6.kpbA',b'4DTHqw',4
b'6.kpbA',b'4RXTyA',4
b'6.kpbA',b'H17x8g',2
b'6.kpbA',b'qofq7g',2
b'6.kpbA',b'YzbsgA',2
b'6.kpbA',b'AZnxcA',2
b'6.kpbA',b'ZB7iwg',2
b'6.kpbA',b'HqJZiQ',2
b'6.kpbA',b'IbgEaA',2
b'6.kpbA',b'-3WvYg',2
b'6.kpbA',b'JVjFwA',2
b'6.kpbA',b'g0tJgA',2
b'6.kpbA',b'r6Lpkg',2
b'6.kpbA',b'Ugx7oA',2
b'6.kpbA',b'BXbmNA',4
b'6.kpbA',b'WyjxKA',2
b'6.kpbA',b'V0ovvg',4
b'6.kpbA',b'7FH5FQ',2
b'6.kpbA',b'4U3pTQ',2
b'6.kpbA',b'q5bFiw',4
b'6.kpbA',b'uwdl6w',6
b'6.kpbA',b'ZvgncA',4
b'6.kpbA',b'HK6llQ',4
b'6.kpbA',b'Xxoz4A',2
b'6.kpbA',b'vqiF9g',2
b'6.kpbA',b'LxjIwA',2
b'6.kpbA',b'VdXeDg',2
b'DflguQ',b'5UZWmQ',2
b'oT0LYw',b'isUtKA',2
b'oT0LYw',b'Lp-amA',2
b'oT0LYw',b'2MjK6Q',2
b'oT0LYw',b'hcyhUA',2
b'oT0LYw',b'UyprCw',2
b'oT0LYw',b'9h3Ryw',2
b'oT0LYw',b'IHKyvQ',2
b'oT0LYw',b'ePP-rA',2
b'oT0LYw',b'J0CxdQ',2
b'oT0LYw',b'nzwatQ',2
b'oT0LYw',b'bay7Hg',2
b'oT0LYw',b'dzLf8A',2
b'oT0LYw',b'm2wpQg',2
b'oT0LYw',b'8iQUtA',2
b'oT0LYw',b'CsRapA',2
b'oT0LYw',b'nYQADQ',2
b'Q3U2nQ',b'3Hl7wA',2
b'Q3U2nQ',b'WxyyaA',2
b'Q3U2nQ',b'MxDCEg',2
b'xPADyA',b'jFK4Dw',2
b'xPADyA',b'y.99uQ',2
b'xPADyA',b'GnixaA',2
b'wzKMEg',b'YsSOVg',2
b'wzKMEg',b'yPUtkA',2
b'wzKMEg',b'fcYUBw',2
b'-AUohg',b'adySIA',2
b'-AUohg',b'FolBsA',2
b'.D8rjw',b'XfD4fQ',2
b'.D8rjw',b'NSgZKA',2
b'KTv-.w',b'Lw2zUA',2
b'CkWQQQ',b'7DCHIA',2
b'CkWQQQ',b'6ExDKQ',2
b'E.9XnQ',b'zO-50g',2
b'Hxao1Q',b'7f9SwA',2
b'Hxao1Q',b'bOO5zw',2
b'Hxao1Q',b'0QVtQA',2
b'Hxao1Q',b'v9WDKQ',2
b'oudH4Q',b'z-iJuw',2
b'JZ7Q1A',b'x4p4HQ',2
b'JZ7Q1A',b'0Nv5Mg',2
b'MlMTHA',b'BNrOdQ',2
b'lTQdAA',b'.2.zjw',2
b'lTQdAA',b'V0l8ag',2
b'lTQdAA',b'ZzLoJQ',2
b'bsm3wQ',b'oikMIA',2
b'xVqkKg',b'XSIAnA',2
b'Kteoqg',b'wFQO8Q',2
b'uQEsgw',b'VLm7vw',2
b'uQEsgw',b'WOMsag',2
b'uQEsgw',b'zzDwhg',2
b'uQEsgw',b'vqiF9g',2
b'uQEsgw',b'fsA7sA',2
b'T4XXwg',b'OpM6EA',2
b'T4XXwg',b'hcyhUA',2
b'T4XXwg',b'oFwSLg',2
b't9Fsmg',b'TeRGsQ',2
b't9Fsmg',b'h9QtSw',2
b't9Fsmg',b'rkhl4g',2
b't9Fsmg',b'PXlj0A',2
b'tq0DkQ',b'a6709w',2
b'tq0DkQ',b'adySIA',2
b'tq0DkQ',b'hcyhUA',2
b'tq0DkQ',b'LgT1iQ',2
b'3vDRzg',b'a6709w',2
b'3vDRzg',b'9.Qphg',2
b'3vDRzg',b'iusp8w',2
b'3vDRzg',b'x2aNeg',2
b'z0UaLw',b'dTJBww',2
b'GZ8QtA',b'7G0csA',2
b'DjwO1g',b'.EOZCw',2
b'DjwO1g',b'clEHUA',2
b'J16zgw',b'8LuRAg',2
b'J16zgw',b'vDI-yQ',2
b'oKpDIQ',b'auQeCw',2
b'oKpDIQ',b'QAu5Rw',2
b'oKpDIQ',b'8foV3A',2
b'oKpDIQ',b'adofnQ',2
b'oKpDIQ',b'vxwlig',2
b'oKpDIQ',b'fCTlYA',2
b'oKpDIQ',b'vjmgGA',2
b'oKpDIQ',b'sWBnBw',2
b'oKpDIQ',b'7D-LPg',4
b'oKpDIQ',b'v7-14A',2
b'oKpDIQ',b'uoflpg',4
b'oKpDIQ',b'mCFaPA',2
b'oKpDIQ',b'auOZng',2
b'oKpDIQ',b'MEO36A',2
b'oKpDIQ',b'srb0Bw',2
b'oKpDIQ',b'y5R3DA',2
b'oKpDIQ',b't2G9Rw',2
b'oKpDIQ',b'wob4GQ',2
b'oKpDIQ',b'cU.-Gg',2
b'oKpDIQ',b'OpP4Rw',2
b'oKpDIQ',b'6cmUmg',2
b'oKpDIQ',b'f.yM0A',2
b'oKpDIQ',b'Xy5uZQ',2
b'oKpDIQ',b'JXsQWw',2
b'oKpDIQ',b'FJkOGw',2
b'oKpDIQ',b'yEyoEA',2
b'oKpDIQ',b'Hz8i6A',2
b'inVTng',b'wPoSiw',2
b'inVTng',b'4.ubQA',2
b'inVTng',b'RNurbw',2
b'2Yu8QQ',b'KAwwAg',2
b'2Yu8QQ',b'Lp-amA',2
b'2Yu8QQ',b'Lrg2cA',2
b'2Yu8QQ',b'IhbvQA',2
b'2Yu8QQ',b'FfAKXA',2
b'2Yu8QQ',b'u3v-Og',2
b'aFbHFg',b'AVkLmA',2
b'aFbHFg',b'WxyyaA',2
b'aFbHFg',b'OkgmqA',2
b'r4OzjA',b'HluheQ',2
b'r4OzjA',b'dssuaA',2
b'0GnO.A',b'Rk7qOA',2
b'0GnO.A',b'eCukIA',2
b'0GnO.A',b'fO.ZHA',2
b'0GnO.A',b'21fxAA',2
b'0GnO.A',b'mtk4AA',2
b'0GnO.A',b'2Du7kg',2
b'Hjy5sA',b'co4lOA',2
b'Hjy5sA',b'cjhWkA',2
b'Hjy5sA',b'3lP0yw',2
b'7x09Vw',b'-pwVfA',2
b'7x09Vw',b'8foV3A',2
b'7x09Vw',b'5UFR8A',2
b'7x09Vw',b'CVPDMA',2
b'7x09Vw',b'bh7TYQ',2
b'7x09Vw',b'dmnO2A',2
b'7x09Vw',b'HSll2A',2
b'ln4ZSQ',b'8foV3A',2
b'ln4ZSQ',b'9qHmuA',2
b'ln4ZSQ',b'GFZXGQ',2
b'ln4ZSQ',b'QSp8iw',2
b'PG2twA',b'wilB2A',2
b'NWw6RA',b'dssuaA',2
b'oh4cOQ',b'HqXlDw',2
b'T8D68A',b'AVkLmA',2
b'T8D68A',b'cIJhrg',1
b'T8D68A',b'8foV3A',3
b'T8D68A',b'lxhA1w',2
b'T8D68A',b'.-If1A',2
b'T8D68A',b'ctYHlw',1
b'T8D68A',b'LtEOeg',2
b'WRQFww',b'Fpp3DA',2
b'4W6eTA',b'Q3P40w',2
b'4W6eTA',b'adySIA',2
b'4W6eTA',b'Lp-amA',2
b'4W6eTA',b'Lrg2cA',2
b'4W6eTA',b'ntkHVg',2
b'4W6eTA',b'jyv37A',2
b'1eGc2A',b'PfkqMA',2
b'1eGc2A',b'Yj9EKg',2
b'1eGc2A',b'RaQ0Og',2
b'1eGc2A',b'iyAgfg',2
b'kZZ4WQ',b'WOMsag',2
b'kZZ4WQ',b'5xFZUg',2
b'kZZ4WQ',b'qXrYoA',2
b'kZZ4WQ',b'gKkX2A',2
b'7RleSg',b'gswx-w',2
b'7RleSg',b'37GF.A',2
b'7RleSg',b'xgRPDQ',2
b'YssZEQ',b'V-0VjA',2
b'YssZEQ',b'8TlIcA',2
b'YssZEQ',b'CwA4Kw',2
b'k-NxOA',b'Oj4VpQ',2
b'QDWlYA',b'dyJ2lA',2
b'QDWlYA',b'nf-nYQ',2
b'QDWlYA',b'QSF.jg',2
b'DOhZzQ',b'2bVhGw',2
b'9Srj1g',b'QSF.jg',2
b'HLTNzA',b'Vpn-qQ',2
b'HLTNzA',b'qDXAVA',2
b'MDWv8w',b'Y.DPdA',2
b'MDWv8w',b'nVaSnA',2
b'VQotIw',b'7hlQww',2
b'CZ.FBg',b'lTfKVw',2
b'CZ.FBg',b'BFOzKQ',2
b'CZ.FBg',b'GwJR8A',2
b'ytJFBg',b'L3BJ8g',2
b'ytJFBg',b'wUnvJA',2
b'ytJFBg',b'vH-h4A',2
b'd-zaPw',b'kSeFrw',2
b'd-zaPw',b'-mJIYQ',2
b'd-zaPw',b'MNW54w',2
b'd-zaPw',b'qOkzvg',2
b'vobS0g',b'7DTFOQ',2
b'vobS0g',b'Pt35aA',2
b'Gw98lw',b'auQeCw',2
b'Gw98lw',b'4W64QA',2
b'Gw98lw',b'SV7Ugw',2
b'AzC9dg',b'WOMsag',2
b'AzC9dg',b'FXefKg',2
b'AzC9dg',b'NNfs0A',2
b'AzC9dg',b'k-GY.A',2
b'AzC9dg',b'FxD68A',2
b'AzC9dg',b'OkgmqA',2
b'AzC9dg',b'FleLmg',2
b'3abIqg',b'JIqdyw',2
b'rwkYVg',b'mReyHw',2
b'rwkYVg',b'Qz3CdA',2
b'rwkYVg',b'aMQdgg',2
b'rwkYVg',b'toXmiA',2
b'Mifrfg',b'wT4YZw',2
b'oEhiIw',b'.L0.sA',2
b'arABSQ',b'Yhg06A',2
b'arABSQ',b'yMd9sw',2
b'arABSQ',b'SDU2PA',2
b'qs07xg',b'ree5zg',2
b'hlMtaA',b'BtMXMA',2
b'hlMtaA',b'PrbQFQ',2
b'frMmpw',b'dFWuog',2
b'uFws5w',b'RJMFoQ',2
b'Y5b4eQ',b'd9k1mA',2
b'Y5b4eQ',b'gPRDDw',2
b'Y5b4eQ',b'l.ubDQ',2
b'TyY3og',b'.eWSCA',2
b'TyY3og',b'xIsKQg',2
b'TyY3og',b'PVHm4Q',2
b'TyY3og',b'eCukIA',2
b'TyY3og',b'VXft0w',2
b'TyY3og',b'.EFkoA',2
b'TyY3og',b'MqLjxg',2
b'TyY3og',b'ePP-rA',2
b'TyY3og',b'AQqahA',2
b'zsv-IA',b'BLsEVQ',2
b'zsv-IA',b'bHHi.A',2
b'zsv-IA',b'J9zvsA',2
b'zsv-IA',b'nj.58A',2
b'zsv-IA',b'gh1u1A',2
b'gB4Z3w',b'adySIA',2
b'gB4Z3w',b'7D-LPg',2
b'gB4Z3w',b'ycSFvw',2
b'gB4Z3w',b'VT7D2Q',2
b'gB4Z3w',b'l7NtBw',2
b'gB4Z3w',b'cHJuvg',2
b'0rjCTQ',b'q3CXJg',2
b'0rjCTQ',b'kuPMZQ',2
b'0rjCTQ',b'EGnV.w',2
b'ml1E7w',b'V5EzrA',2
b'ml1E7w',b'64v6sw',2
b'945fgw',b'Lp-amA',2
b'945fgw',b'tLyoFg',2
b'945fgw',b'eFbKMA',2
b'wV8Etw',b'IAa.HA',2
b'wV8Etw',b'I4G1OA',2
b'wV8Etw',b'djCL6Q',2
b'wV8Etw',b'NFafxA',2
b'wV8Etw',b'W10p0A',2
b'wV8Etw',b'5xhm1w',2
b'wV8Etw',b'1ptuAg',2
b'wV8Etw',b'CWNIMA',2
b'wV8Etw',b'krtuyA',2
b'JKNB-w',b'yZeN6g',2
b'JKNB-w',b'r0aD4A',2
b'JKNB-w',b'LtzCqg',2
b'myuu.w',b'b28c8Q',2
b'myuu.w',b'To4ksg',2
b'myuu.w',b'6lYV4Q',2
b'myuu.w',b'4D8sig',2
b'myuu.w',b'blw2pw',2
b'xhweQQ',b'eNw5kg',2
b'xhweQQ',b'hGN0vA',2
b'xhweQQ',b'SDk.GQ',2
b'uOeYvQ',b'fXufGg',2
b'uOeYvQ',b'7FxyVg',2
b'7qrUsw',b'SSthFA',2
b'7qrUsw',b'l8fdEA',2
b'7qrUsw',b'9-oakg',2
b'7qrUsw',b'wW5XYg',2
b'7qrUsw',b'aFUIgg',2
b'7qrUsw',b'-mJIYQ',2
b'7qrUsw',b'mCFaPA',2
b'7qrUsw',b'eUui0A',2
b'7qrUsw',b'CjmuXw',2
b'7qrUsw',b'LQqoow',2
b'7qrUsw',b'BZngmA',2
b'7qrUsw',b'Q.GTrA',4
b'7qrUsw',b'kT2b5w',2
b'7qrUsw',b'tZFwVA',2
b'n-s38w',b'CqRD2Q',2
b'n-s38w',b'9.tixg',2
b'DMin0w',b'8foV3A',2
b'DMin0w',b'K-AqnA',6
b'DMin0w',b'sjd8KA',2
b'DMin0w',b'K1BISA',2
b'DMin0w',b'M1ZTSQ',2
b'DMin0w',b'Q0ppXw',2
b'2woPhg',b'4A2ZKA',2
b'2woPhg',b'nvVGBA',2
b'2woPhg',b'qWkuBg',2
b'2woPhg',b'Dq2OsA',2
b'2woPhg',b'gDX5fg',2
b'2woPhg',b'8br.6g',2
b'2woPhg',b'1G4MjQ',2
b'2woPhg',b'9GDKqw',2
b'2woPhg',b'.w2PZA',2
b'2woPhg',b'LtzCqg',2
b'2woPhg',b'hl9Lpw',2
b'2woPhg',b'tqHbzA',2
b'2woPhg',b'iALf5w',4
b'2woPhg',b'kb6AGw',2
b'2woPhg',b'yDpvvg',2
b'2woPhg',b'krtuyA',2
b'2woPhg',b'7wuXtQ',2
b'jSgUOw',b'cqFwBw',2
b'jSgUOw',b'hHZpdQ',2
b'jSgUOw',b'SPvG8Q',2
b'jSgUOw',b'Ei6SbA',2
b'jSgUOw',b'ZIIsxA',2
b'pthQbw',b'h9QtSw',2
b'pthQbw',b'c5f-Hg',2
b'pthQbw',b'Dq2OsA',2
b'pthQbw',b'RSAdpQ',2
b'pthQbw',b'k-GY.A',2
b'pthQbw',b'fXufGg',2
b'pthQbw',b'5xFZUg',2
b'pthQbw',b'gxlAPw',2
b'pthQbw',b'8eZjTg',2
b'pthQbw',b'OGu1.A',2
b'pthQbw',b'zEFS5g',2
b'pthQbw',b'oIGXzw',2
b'pthQbw',b'j6eZWQ',2
b'pthQbw',b'3iG0ew',2
b'pthQbw',b'nj.58A',2
b'pthQbw',b'JpJTCQ',2
b'pthQbw',b'KzSjUg',2
b'ifcBsA',b'8foV3A',2
b'ifcBsA',b'1qSpIA',2
b'ifcBsA',b'8eZjTg',2
b'ifcBsA',b'HnNTnw',2
b'ifcBsA',b'Z38gow',2
b'ifcBsA',b'xXqUyw',2
b'ifcBsA',b'jblAnA',2
b'ifcBsA',b'Xxoz4A',2
b'ifcBsA',b'bPeKfg',2
b'dOpbPw',b'xQC2ng',2
b'dOpbPw',b'2Kd6jw',2
b'dOpbPw',b'tI3RtA',2
b'geCa0g',b'UvEePA',2
b'geCa0g',b'Lp-amA',2
b'geCa0g',b'Sey8oA',2
b'sAluBQ',b'gf.FHA',2
b'qZdHJw',b'KilErw',2
b'qZdHJw',b'PcHBHQ',2
b'qZdHJw',b'bBiHIQ',2
b'qZdHJw',b'ql-F1g',2
b'x6xWtA',b'bHaL8A',2
b'DWhIMg',b'bTDnnQ',2
b'w8zTSA',b'la8DGw',2
b'TMX7-A',b'BNrOdQ',2
b'TMX7-A',b'0QVtQA',2
b'TMX7-A',b'M-kAFg',2
b'BEoSsw',b'mGxnsw',2
b'BEoSsw',b'ARPgQg',2
b'BEoSsw',b'x-JtDA',2
b'BEoSsw',b's8.iwg',2
b'vvhLkQ',b'MB9X8A',2
b'vvhLkQ',b'akzP6g',2
b'vvhLkQ',b'j.NALw',2
b'PpBiaQ',b'Mao9LA',2
b'WtQiCA',b'chaCcA',2
b'tvMJVA',b'Pu.V3Q',2
b'tvMJVA',b'C0U94Q',2
b'gaGj2A',b'jwMnYA',2
b'gaGj2A',b'YKbqvw',2
b'gaGj2A',b'yMh8UQ',2
b'-qoLzQ',b'HkvaMA',2
b'-qoLzQ',b'hrFDzA',2
b'-qoLzQ',b'fk2k9w',2
b'-qoLzQ',b'-JrZoA',2
b'-qoLzQ',b'gpfvkw',2
b't7SpBA',b'oBQNPg',2
b't7SpBA',b'Ugx7oA',2
b't7SpBA',b'4OAKPQ',2
b't7SpBA',b'p.EW3w',2
b't7SpBA',b'nYQADQ',2
b'vE1W.g',b'Gt.vEA',2
b'vE1W.g',b'mHUYPQ',2
b'i2PdtQ',b'7DTFOQ',2
b'i2PdtQ',b'6BDpSA',2
b'adv0dA',b'n9IMSA',2
b'adv0dA',b'qS8alw',2
b'sU53VA',b'eNw5kg',2
b'cA9YtA',b'weLN6w',2
b'cA9YtA',b'6BDpSA',2
b'cA9YtA',b'ib5EHA',2
b'cA9YtA',b'2RXkzg',2
b'SGtazg',b'GYP1xA',2
b'UxzUFg',b'b28c8Q',2
b'UxzUFg',b'kJRO3w',2
b'YGfxpA',b'XwTjAA',2
b'YGfxpA',b'KdYL4w',2
b'YGfxpA',b'xxnScA',2
b'YGfxpA',b'69uecA',2
b'YGfxpA',b'arVVcA',2
b'YGfxpA',b'sjd8KA',2
b'9m2v1A',b'.eWSCA',2
b'9m2v1A',b'HluheQ',2
b'9m2v1A',b'bkQrgA',2
b'9m2v1A',b'2htxtQ',2
b'9m2v1A',b'XT-Clw',2
b'9m2v1A',b'X4-YDA',2
b'9m2v1A',b'JfVgQw',2
b'9m2v1A',b'1N9AuQ',2
b'9m2v1A',b'WFohRA',2
b'Mtt-ZQ',b'3lP0yw',2
b'Mtt-ZQ',b'zy9APg',2
b'bftg4Q',b'YzbsgA',2
b'bftg4Q',b'dFWuog',2
b'bftg4Q',b'LEZEJA',2
b'bftg4Q',b'dI-fgQ',2
b'FNSj5w',b'WqB92A',2
b'Py2q5A',b'xCs5HQ',2
b'aaUjDA',b'yo97rg',2
b'.8uH3A',b'Lp-amA',2
b'.8uH3A',b'z.v74A',2
b'.8uH3A',b'omQI1g',2
b'.8uH3A',b'xDHjhw',2
b'.8uH3A',b'bh7TYQ',2
b'.8uH3A',b'FetE.w',2
b'.8uH3A',b'jBF.4A',2
b'.8uH3A',b'fQURFw',2
b'.8uH3A',b'5RM4xQ',2
b'gNRiew',b'5LxAQA',2
b'gNRiew',b'3kCzCA',2
b'99zZbg',b'KNiJcA',2
b'99zZbg',b'ugVh5g',2
b'99zZbg',b'SDU2PA',2
b'99zZbg',b'o.i4WA',2
b'WO1cYw',b'CLPFqA',2
b'WO1cYw',b'PB.TGg',2
b'ChvOKQ',b'NO.X5A',2
b'ChvOKQ',b'KmvjdA',2
b'XxxdpA',b'kSeFrw',2
b'XxxdpA',b'1zXRog',2
b'XxxdpA',b'3vUONg',2
b'XxxdpA',b'is6iZA',2
b'6tZQpQ',b'ZuQnDA',4
b'6tZQpQ',b'MgfkaQ',2
b'6tZQpQ',b'H9NReg',2
b'6tZQpQ',b'7zleJA',2
b'6tZQpQ',b'NEl9zQ',4
b'6tZQpQ',b'PYHwEA',2
b'6tZQpQ',b'4IywTw',2
b'6tZQpQ',b'oKPA-Q',2
b'6tZQpQ',b'i501iQ',2
b'6tZQpQ',b'6J3u7Q',2
b'ld86MQ',b'hcyhUA',2
b'ld86MQ',b'BqDUEg',2
b'WcgYUg',b'mReyHw',2
b'yWYY3Q',b'mpRLeA',2
b'yWYY3Q',b'7mO.Pg',2
b'yWYY3Q',b'qPbV4A',2
b'yWYY3Q',b'7B7esg',2
b'yWYY3Q',b'0ZP.TA',2
b'yWYY3Q',b'XsLfYA',2
b'yWYY3Q',b'trtLEA',2
b'yWYY3Q',b'RNurbw',2
b'yWYY3Q',b'1JGZ1w',2
b'yWYY3Q',b'APgqqQ',2
b'NoMy-Q',b'0-MYxA',2
b'SdvjKg',b'8eG2gQ',2
b'SdvjKg',b'5rTdEQ',2
b'SdvjKg',b'tm3xvw',2
b'SdvjKg',b'yfBhgA',2
b'SdvjKg',b'c6JHUA',2
b'PtDaVg',b'RNVuyA',2
b'PtDaVg',b'y7D8hA',2
b'PtDaVg',b'.EFkoA',2
b'5NtyeQ',b'x4p4HQ',2
b'5NtyeQ',b'CLPFqA',2
b'5NtyeQ',b'H7Knxw',2
b'5NtyeQ',b'kPOQIQ',2
b'5NtyeQ',b'lTZMsA',2
b'5NtyeQ',b'sQSQUA',2
b'sOkOlg',b'DULIbg',2
b'J2Gp-Q',b'SSthFA',2
b'J2Gp-Q',b'wPoSiw',2
b'J2Gp-Q',b'ElcU0w',2
b'J2Gp-Q',b'zIZJNA',2
b'J2Gp-Q',b'lpxAfg',2
b'J2Gp-Q',b'FKnHAA',2
b'J2Gp-Q',b'LaAj.w',2
b'J2Gp-Q',b'1R28zQ',2
b'J2Gp-Q',b'.fnDGA',2
b'J2Gp-Q',b'86Bh2g',2
b'J2Gp-Q',b'vRVJoA',2
b'J2Gp-Q',b'GtfgMA',2
b'BSkNEA',b'a.Qt1w',2
b'BSkNEA',b'K8J8dA',2
b'BSkNEA',b'1G4MjQ',2
b'BSkNEA',b'79ZonA',2
b'BSkNEA',b'n6IX8w',2
b'BSkNEA',b'C5UDZQ',2
b'BSkNEA',b'1yKktQ',2
b'BSkNEA',b'3w5oQg',2
b'BSkNEA',b'B.Riew',2
b'BSkNEA',b'EbpddA',2
b'BSkNEA',b'-cQ7OA',2
b'ZmlZjQ',b'adySIA',2
b'MUlWag',b'c1mTow',2
b'nlcszg',b'uSrMOg',2
b'nlcszg',b'3ur5VQ',2
b'nlcszg',b'dMONbA',2
b'nlcszg',b'.sOIYA',2
b'nlcszg',b'o3w1Og',2
b'nlcszg',b'Gy2TLA',2
b'nlcszg',b'C8BNCA',2
b'nlcszg',b'atoySA',2
b'PQoZrg',b'0gWMGA',2
b'PQoZrg',b'k-GNpg',2
b'PQoZrg',b'wRwD8A',2
b'PQoZrg',b'vurCcA',2
b'PQoZrg',b'gh1u1A',2
b'tTH.Zg',b'AFL0Mg',2
b'DE3Rbg',b'R4Gl9g',2
b'DE3Rbg',b'-Ukl4w',2
b'DE3Rbg',b'jEOc9A',2
b'DE3Rbg',b'bTDnnQ',2
b'DE3Rbg',b'BjofCQ',2
b'DE3Rbg',b'sqVvsQ',2
b'eW28wQ',b'EImaWA',2
b'eW28wQ',b'RNVuyA',2
b'eW28wQ',b'2vT3pA',4
b'RizB4Q',b'mfVqEQ',2
b'JytPXg',b'FolBsA',2
b'JytPXg',b'mXAZtw',2
b'rt15MA',b'RQdNLw',2
b'rt15MA',b'uoflpg',2
b'rt15MA',b'7G0csA',2
b'kSWFXA',b'wilB2A',2
b'kSWFXA',b'adySIA',2
b'kSWFXA',b'fXufGg',2
b'9Z0pHw',b'AVkLmA',2
b'9Z0pHw',b'M9yuMg',2
b'wqFNgQ',b'0ZP.TA',2
b'wqFNgQ',b'sikfqA',2
b'wqFNgQ',b'3efLug',2
b'wqFNgQ',b'JXsQWw',2
b'wqFNgQ',b'htvNsA',2
b'wqFNgQ',b'sQSQUA',2
b'wqFNgQ',b'xjRUDg',2
b'wqFNgQ',b'sHWN4A',2
b'wqFNgQ',b'L4SmGg',2
b'wqFNgQ',b'i3T9zQ',2
b'70GvxQ',b'SnXuCQ',2
b'JB-l4Q',b'lL4Ujw',2
b'OoVX0A',b'0QVtQA',2
b'HtvN9w',b'U4vhfw',2
b'fEOtfQ',b'nlKDGw',2
b'fEOtfQ',b'HjhgjQ',2
b'M2Tanw',b'isUtKA',2
b'M2Tanw',b'ElcU0w',2
b'M2Tanw',b'k-GY.A',2
b'M2Tanw',b'ee0Xcw',2
b'M2Tanw',b'pjALqg',4
b'M2Tanw',b'lL4Ujw',2
b'M2Tanw',b'P3Oyzg',2
b'M2Tanw',b'ib5EHA',2
b'M2Tanw',b'XQV8hg',2
b'M2Tanw',b'kKG-5w',2
